Date,Year,Competition,CompetitionSet,Comp.SetDetail,Sport,Discipline,Gender,Class,Phase,Rank,Medal,Team Members,Person/Team,Person,Person First Name,Person Last Name,PersonGender,Team,Nationality,DoB,YoB,Age (days),Age,Country,Country Code,Continent,Result,Sec/Mtr/Pts,Host City,Host Country,Host Continent,# Participants,# Countries,# Continents,World Ranking,Rank Within Country,Is Olympic Discipline
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,1,G,No,"Mira Potkonen (FIN, 17 Nov 1980)",Mira Potkonen,Mira,Potkonen,Women,Finland,FIN,17-Nov-80,,38-288,38.0,Finland,FIN,Europe,,0,Madrid,Spain,Europe,18,18,1,4.0,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,2,S,No,"Maiva Hamadouche (FRA, 04 Nov 1989)",Maiva Hamadouche,Maiva,Hamadouche,Women,France,FRA,04-Nov-89,,29-301,29.0,France,FRA,Europe,,0,Madrid,Spain,Europe,18,18,1,,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,3,B,No,"Amy Broadhurst (IRL, 17 Mar 1997)",Amy Broadhurst,Amy,Broadhurst,Women,Ireland,IRL,17-Mar-97,,22-168,22.0,Ireland,IRL,Europe,,0,Madrid,Spain,Europe,18,18,1,,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,3,B,No,"Sema Caliskan (TUR, 24 Jul 1996)",Sema Caliskan,Sema,Caliskan,Women,Turkey,TUR,24-Jul-96,,23-039,23.0,Turkey,TUR,Europe,,0,Madrid,Spain,Europe,18,18,1,,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,5,,No,"Anastasia Belyakova (RUS, 01 May 1993)",Anastasia Belyakova,Anastasia,Belyakova,Women,Russia,RUS,01-May-93,,26-123,26.0,Russia,RUS,Europe,,0,Madrid,Spain,Europe,18,18,1,13.0,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,5,,No,"Ala Yarshevich (BLR, 20 Dec 1988)",Ala Yarshevich,Ala,Yarshevich,Women,Belarus,BLR,20-Dec-88,,30-255,30.0,Belarus,BLR,Europe,,0,Madrid,Spain,Europe,18,18,1,31.0,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,5,,No,"Agnes Alexiusson (SWE, 19 Apr 1996)",Agnes Alexiusson,Agnes,Alexiusson,Women,Sweden,SWE,19-Apr-96,,23-135,23.0,Sweden,SWE,Europe,,0,Madrid,Spain,Europe,18,18,1,15.0,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,5,,No,"Kinga Szlachcic (POL, 13 Sep 1995)",Kinga Szlachcic,Kinga,Szlachcic,Women,Poland,POL,13-Sep-95,,23-353,23.0,Poland,POL,Europe,,0,Madrid,Spain,Europe,18,18,1,,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,9,,No,"Sandra Brügger (SUI, 06 Mar 1981)",Sandra Brügger,Sandra,Brügger,Women,Switzerland,SUI,06-Mar-81,,38-179,38.0,Switzerland,SUI,Europe,,0,Madrid,Spain,Europe,18,18,1,,1,Yes
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Lightweight,Women,Seniors,,9,,No,"Cristina Cosma (ROU, 29 Jun 1997)",Cristina Cosma,Cristina,Cosma,Women,Romania,ROU,29-Jun-97,,22-064,22.0,Romania,ROU,Europe,,0,Madrid,Spain,Europe,18,18,1,,1,Yes
