Date,Year,Competition,CompetitionSet,Comp.SetDetail,Sport,Discipline,Gender,Class,Phase,Rank,Medal,Team Members,Person/Team,Person,Person First Name,Person Last Name,PersonGender,Team,Nationality,DoB,YoB,Age (days),Age,Country,Country Code,Continent,Result,Sec/Mtr/Pts,Host City,Host Country,Host Continent,# Participants,# Countries,# Continents,World Ranking,Rank Within Country,Is Olympic Discipline
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,1,G,No,"Lacramioara Perijoc (ROU, 03 Feb 1994)",Lacramioara Perijoc,Lacramioara,Perijoc,Women,Romania,ROU,03-Feb-94,,25-210,25,Romania,ROU,Europe,,0,Madrid,Spain,Europe,13,13,1,30,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,2,S,No,"Karina Tazabekova (RUS, 16 Oct 1989)",Karina Tazabekova,Karina,Tazabekova,Women,Russia,RUS,16-Oct-89,,29-320,29,Russia,RUS,Europe,,0,Madrid,Spain,Europe,13,13,1,,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,3,B,No,"Caroline Cruveillier (FRA, 23 Mar 1998)",Caroline Cruveillier,Caroline,Cruveillier,Women,France,FRA,23-Mar-98,,21-162,21,France,FRA,Europe,,0,Madrid,Spain,Europe,13,13,1,,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,3,B,No,"Yuliya Apanasovich (BLR, 10 Nov 1996)",Yuliya Apanasovich,Yuliya,Apanasovich,Women,Belarus,BLR,10-Nov-96,,22-295,22,Belarus,BLR,Europe,,0,Madrid,Spain,Europe,13,13,1,,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,5,,No,"Ivanna Krupenia (UKR, 03 Apr 1990)",Ivanna Krupenia,Ivanna,Krupenia,Women,Ukraine,UKR,03-Apr-90,,29-151,29,Ukraine,UKR,Europe,,0,Madrid,Spain,Europe,13,13,1,33,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,5,,No,"Jelena Zekic (SRB, 09 Jul 1999)",Jelena Zekic,Jelena,Zekic,Women,Serbia,SRB,09-Jul-99,,20-054,20,Serbia,SRB,Europe,,0,Madrid,Spain,Europe,13,13,1,,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,5,,No,Giulia Lamagna (ITA),Giulia Lamagna,Giulia,Lamagna,Women,Italy,ITA,,,,,Italy,ITA,Europe,,0,Madrid,Spain,Europe,13,13,1,,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,5,,No,"Natalia Rok (POL, 14 Apr 1994)",Natalia Rok,Natalia,Rok,Women,Poland,POL,14-Apr-94,,25-140,25,Poland,POL,Europe,,0,Madrid,Spain,Europe,13,13,1,,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,9,,No,"Iulia Coroli (MDA, 09 Mar 1995)",Iulia Coroli,Iulia,Coroli,Women,Moldova,MDA,09-Mar-95,,24-176,24,Moldova,MDA,Europe,,0,Madrid,Spain,Europe,13,13,1,,1,
01-Sep-19,2019,European Championships,Continental Championships/European Championships,European Championships,Boxing,Bantamweight,Women,Seniors,,9,,No,"Lara Garcia (ESP, 29 Apr 1987)",Lara Garcia,Lara,Garcia,Women,Spain,ESP,29-Apr-87,,32-125,32,Spain,ESP,Europe,,0,Madrid,Spain,Europe,13,13,1,,1,
